R,VROT,VROT_ERR_MIN,VROT_ERR_MAX
49.05379718,201.4672937,170.3762877,232.5582996
49.91904576,220.0294045,193.0408444,247.0179647
51.0042991,176.4469381,148.8396067,204.0542694
51.77283371,265.2582441,226.8538165,303.6626716
53.02213565,198.9180726,155.5106782,242.325467
53.92089455,198.6130207,166.0873975,231.1386438
54.73690488,150.1186108,120.2046101,180.0326116
56.89028846,221.3156897,194.3944901,248.2368892
60.92390026,191.7951561,163.5847669,220.0055453
64.73295029,232.9457567,193.5220026,272.3695109
69.30852597,223.6331318,179.9763966,267.2898671
72.9636519,216.10095,171.4002493,260.8016506
76.94633659,261.7664107,179.0636541,344.4691672
81.12560444,219.0725053,144.8920732,293.2529373
84.90161998,142.9701981,102.130536,183.8098601
89.62702235,133.4246819,85.41413589,181.435228
92.44401589,183.5636203,108.0134234,259.1138171
97.40592859,220.4770593,138.439036,302.5150825
100.715274,128.8952075,82.51063032,175.2797847
106.7706547,163.8939743,103.8160943,223.9718543
